year,show,character_name
1949,"The Lone Ranger (1949)",john
1949,"The Lone Ranger (1949)",tonto
1949,"The Lone Ranger (1949)",dan
1950,"The Lone Ranger (1949)",john
1950,"The Lone Ranger (1949)",tonto
1950,"The Lone Ranger (1949)",dan

1951,"Dragnet (1951)",joe
1951,"Dragnet (1951)",friday
1951,"Dragnet (1951)",smith

1952,"Death Valley Days","old ranger"
1952,"Death Valley Days",stranger
1952,"Death Valley Days",marshal
1953,"Death Valley Days","old ranger"
1953,"Death Valley Days",stranger
1953,"Death Valley Days",marshal

1954,"Lassie (1954)",lassie
1954,"Lassie (1954)",timmy
1954,"Lassie (1954)",ruth

1955,"Gunsmoke",matt
1955,"Gunsmoke",kitty
1955,"Gunsmoke",doc
1956,"Gunsmoke",matt
1956,"Gunsmoke",kitty
1956,"Gunsmoke",doc
1957,"Gunsmoke",matt
1957,"Gunsmoke",kitty
1957,"Gunsmoke",doc
1958,"Gunsmoke",matt
1958,"Gunsmoke",kitty
1958,"Gunsmoke",doc
1959,"Gunsmoke",matt
1959,"Gunsmoke",kitty
1959,"Gunsmoke",doc
1960,"Gunsmoke",matt
1960,"Gunsmoke",kitty
1960,"Gunsmoke",doc
1961,"Gunsmoke",matt
1961,"Gunsmoke",kitty
1961,"Gunsmoke",doc
1962,"Gunsmoke",matt
1962,"Gunsmoke",kitty
1962,"Gunsmoke",doc
1963,"Gunsmoke",matt
1963,"Gunsmoke",kitty
1963,"Gunsmoke",doc
1964,"Gunsmoke",matt
1964,"Gunsmoke",kitty
1964,"Gunsmoke",doc
1965,"Gunsmoke",matt
1965,"Gunsmoke",kitty
1965,"Gunsmoke",doc

1966,"Dark Shadows (1966)",barnabas
1966,"Dark Shadows (1966)",victoria
1966,"Dark Shadows (1966)",elizabeth
1967,"Dark Shadows (1966)",barnabas
1967,"Dark Shadows (1966)",victoria
1967,"Dark Shadows (1966)",elizabeth
1968,"Dark Shadows (1966)",barnabas
1968,"Dark Shadows (1966)",victoria
1968,"Dark Shadows (1966)",elizabeth
1969,"Dark Shadows (1966)",barnabas
1969,"Dark Shadows (1966)",victoria
1969,"Dark Shadows (1966)",elizabeth
1970,"Dark Shadows (1966)",barnabas
1970,"Dark Shadows (1966)",victoria
1970,"Dark Shadows (1966)",elizabeth
1971,"Dark Shadows (1966)",barnabas
1971,"Dark Shadows (1966)",victoria
1971,"Dark Shadows (1966)",elizabeth

1972,"Gunsmoke",matt
1972,"Gunsmoke",kitty
1972,"Gunsmoke",doc
1973,"Gunsmoke",matt
1973,"Gunsmoke",kitty
1973,"Gunsmoke",doc
1974,"Gunsmoke",matt
